p0,p1,post_mu2_gt_m1,H,pvalue1
0.627,0.373,0.676,0.660533047478153,0.221
0,1,1,0,1.335e-17
0,1,0,0,9.959e-22
0.739,0.261,0.926,0.574100289090193,0.499
0,1,1,0,1.949e-10
0,1,1,0,2.495e-25
0,1,1,0,1.45e-06
0,1,1,0,1.257e-09
0.658,0.342,0.936,0.642353162094667,0.292
0,1,0,0,3.83e-12
0.592,0.408,0.625,0.676122343973908,0.124
0.129,0.871,0.986,0.384481316980951,0.00643
0.703,0.297,0.834,0.608300938814838,0.87
0,1,0,0,6.021e-21
0.044,0.956,0.998,0.180454370212594,0.00291
0,1,0,0,4.547e-15
0,1,1,0,3.572e-07
0,1,1,0,1.116e-27
0,1,0,0,5.908e-15
0,1,1,0,7.955e-10
0,1,1,0,1.834e-12
0,1,1,0,5.515e-17
0.414,0.586,0.465,0.678281369126327,0.0691
0,1,1,0,1.218e-13
0.201,0.799,0.227,0.501785596795009,0.0173
0.092,0.908,0.097,0.307140834123651,0.00489
0.74,0.26,0.903,0.57305691713142,0.838
0,1,0,0,7.133e-09
0.155,0.845,0.982,0.431284935742842,0.0118
0,1,0,0,4.99e-19
0,1,0,0,3.005e-13
0.36,0.64,0.392,0.653418194793702,0.0472
0.618,0.382,0.663,0.665034739785572,0.171
0,1,0,0,9.581e-42
0.765,0.235,0.899,0.54524767028096,0.908
0,1,1,0,1.707e-13
0.624,0.376,0.911,0.662071931205014,0.445
0,1,1,0,2.653e-08
0.499,0.501,0.976,0.693145180558612,0.0693
0.589,0.411,0.963,0.6772204456534,0.142
0.454,0.546,0.947,0.688909190314647,0.0542
0,1,0,0,3.654e-45
0.046,0.954,0.999,0.186564632181973,0.00204
0,1,0,0,8.317e-08
0,1,0,0,1.628e-37
0,1,0,0,9.772e-14
0.756,0.244,0.843,0.555646951618869,0.749
0.623,0.377,0.686,0.662576362109654,0.295
0,1,1,0,2.956e-08
0.241,0.759,0.266,0.552229868967606,0.0168
0.041,0.959,0.996,0.171109283434043,0.00313
0.551,0.449,0.616,0.687936122542609,0.172
0.001,0.999,0.001,0.00790725511223209,2.235e-05
0,1,1,0,1.833e-11
0.006,0.994,1,0.0366779387501341,4.433e-05
0,1,1,0,6.626e-08
0,1,0,0,1.401e-08
0.213,0.787,0.983,0.517904416181533,0.0198
0.001,0.999,0.001,0.00790725511223209,9.221e-05
0,1,1,0,2.304e-08
0,1,0,0,1.237e-34
0.292,0.708,0.983,0.603932750384645,0.0249
0.194,0.806,0.99,0.491971299663509,0.014
0,1,1,0,1.925e-44
0,1,0,0,3.461e-11
0.184,0.816,0.193,0.477404985931372,0.0126
0,1,0,0,2.931e-11
0,1,0,0,4.036e-20
0.695,0.305,0.798,0.615041454449346,0.59
0,1,0,0,2.744e-47
0.626,0.374,0.952,0.66105027844044,0.164
0,1,0,0,1.291e-11
0.003,0.997,0.999,0.0204229244641799,0.0001584
0.739,0.261,0.811,0.574100289090193,0.489
0.002,0.998,0.003,0.0144272148621761,0.0008472
0.242,0.758,0.989,0.553374342935301,0.027
0.725,0.275,0.834,0.588168777354191,0.711
0.013,0.987,1,0.0693716084142908,0.000121
0.287,0.713,0.97,0.599443630303733,0.0241
0,1,0,0,2.542e-29
